Source	Predicate	Target	Source_wd	Predicate_wd	Target_wd	Reference	Sentence	Source_type	Target_type	Source_name	Target_name	Prevalence	Curator_evidence	Curation_date	Curator	Reference_date
UniProt:Q96IV0	same_as	EC:3.5.1.52				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	enzyme	N-Glycanase 1	PNGase|peptide:N-glycanase			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006517				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	biological process	N-Glycanase 1	protein deglycosilation		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006515				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	biological process	N-Glycanase 1	misfolded or incompletely synthesized protein catabolic process		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0006516				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	biological process	N-Glycanase 1	glycoprotein catabolic process		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0097466				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	biological process	N-Glycanase 1	ubiquitin-dependent glycoprotein ERAD pathway		Not in GOA, but evidence on Reactome (http://www.reactome.org/content/detail/R-HSA-8850594) [accessed at 2017-03-16]; PMID: 11562482	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	GO:0071712				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	biological process	N-Glycanase 1	ER-associated misfolded protein catabolic process		Not in GOA	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	pathway	N-Glycanase 1	ERAD pathway			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	molecular_activity	GO:0000224				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	molecular function	N-Glycanase 1	cleavage of the B-aspartyl glycosylamine bond of N-linked glycoproteins, releasing intact N-glycans from proteins bound for degradation.		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	participates	Reactome:R-HSA-8850594				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.	protein	reaction	N-Glycanase 1	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	in	GO:0005829				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	cell component	N-Glycanase 1	cytosol		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	in	GO:0005737				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	protein	cell component	N-Glycanase 1	cytoplasm		GOA (human)	2017-03-22	Núria Queralt Rosinach	2014-03-20
Reactome:R-HSA-8850594	participates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.(...).Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97. The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	reaction 	pathway	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins	ERAD pathway		http://www.reactome.org/content/detail/R-HSA-532668	2017-03-22	Núria Queralt Rosinach	2014-03-20
Reactome:R-HSA-8850594	regulated_by	Reactome:R-HSA-8850590				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The enzyme N-glycanase 1 (NGLY1), also known as peptide:N-glycanase (PNGase, EC 3.5.1.52), catalyzes protein deglycosilation by cleaving the beta-aspartyl glycosylamine bond of N-linked glycoproteins with the subsequent release of intact N-glycan species.(...).Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	reaction	protein complex	Deglycosylation complex hydrolyses N-glycans from unfolded glycoproteins	Deglycosylation complex|ERAD machinery|AAA ATPase complex p97		http://www.reactome.org/content/detail/R-HSA-8850594	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	is_component_of	Reactome:R-HSA-8850590				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	protein	protein complex	N-Glycanase 1	Deglycosylation complex|ERAD machinery|AAA ATPase complex p97		http://www.reactome.org/content/detail/R-HSA-8850590	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:P55072	is_component_of	Reactome:R-HSA-8850590				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	protein	protein complex	Transitional endoplasmic reticulum ATPase|AAA ATPase p97	Deglycosylation complex|ERAD machinery|AAA ATPase complex p97		http://www.sciencedirect.com/science/article/pii/S109727650000143X;http://www.reactome.org/content/detail/R-HSA-8850590	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	interacts	UniProt:P55072				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	protein	protein	N-Glycanase 1	Transitional endoplasmic reticulum ATPase|AAA ATPase p97		https://thebiogrid.org/120885/summary/homo-sapiens/ngly1.html	2017-03-22	Núria Queralt Rosinach	2014-03-20
NCBIGene:55768	interacts	NCBIGene:7415				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Evidence suggests that NGLY1 participates as a key cytoplasmic component of the endoplasmic reticulum-associated degradation (ERAD) machinery along with the AAA ATPase complex p97.	gene	gene	NGLY1	VCP|p97		https://thebiogrid.org/120885/summary/homo-sapiens/ngly1.html	2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:3755				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	almond seeds			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:2			Q10876	https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	bacteria			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:4932				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	yeast			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:5774				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	amoeba			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:117565				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	fish			2017-03-22	Núria Queralt Rosinach	2014-03-20
UniProt:Q96IV0	activity_in	NCBITaxon:40674				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 activity was first described in almond seeds but is ubiquitously present across a wide range of species, including bacteria, yeast, amoeba, fish, and mammals.	protein	taxon	N-Glycanase 1	mammal			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	same_as	OMIM:615273				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The finding of compound heterozygous loss of function mutations in NGLY1 in the original case suggested that NGLY1 deficiency (OMIM 615273) represents a new disorder.	disease	disease	NGLY1 deficiency	NGLY1 deficiency			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	has_attribute	HP:0000007				https://www.ncbi.nlm.nih.gov/pubmed/24651605	NGLY1 deficiency is a novel autosomal recessive disorder of the endoplasmic reticulum-associated degradation pathway associated with neurological dysfunction, abnormal tear production, and liver disease.	disease	mode of inheritance	NGLY1 deficiency	autosomal recessive disorder			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	These observations confirm NGLY1 deficiency as an inherited disorder associated with the ERAD process and document its clinical presentation.	disease	pathway	NGLY1 deficiency	ERAD pathway			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	UniProt:Q96IV0				https://www.ncbi.nlm.nih.gov/pubmed/24651605	To define the phenotype associated with a novel inherited disorder of cytosolic endoplasmic reticulum-associated degradation pathway dysfunction, we studied a series of eight patients with deficiency of N-glycanase 1.	disease	protein	NGLY1 deficiency	N-Glycanase 1			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	NCBIGene:55768				https://www.ncbi.nlm.nih.gov/pubmed/24651605	To date, a single patient with NGLY1 deficiency has been reported as part of a whole-exome sequencing (WES) study focusing on the utility of this technology to detect  the underlying genetic etiology of disorders affecting patients with previously undiagnosed or unresolved genetic conditions. Neet et al. described a 3-year-old boy with compound heterozygous inactivating mutations in NGLY1 and suggested that this could be a new disorder. 	disease	gene	NGLY1 deficiency	NGLY1			2017-03-22	Núria Queralt Rosinach	2014-03-20
NCBIGene:55768	encodes	UniProt:Q96IV0				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1. To date, a single patient with NGLY1 deficiency has been reported as part of a whole-exome sequencing (WES) study focusing on the utility of this technology to detect  the underlying genetic etiology of disorders affecting patients with previously undiagnosed or unresolved genetic conditions. Neet et al. described a 3-year-old boy with compound heterozygous inactivating mutations in NGLY1 and suggested that this could be a new disorder. 	gene	protein	NGLY1 gene	N-Glycanase 1			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	SO:0001587			Q518638	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The finding of compound heterozygous loss of function mutations in NGLY1 in the original case suggested that NGLY1 deficiency (OMIM 615273) represents a new disorder.	disease	variant class	NGLY1 deficiency	nonsense mutation|loss of function mutation|inactivating mutation|stop-gain mutation			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	HGVS:NM_018297.3:c.1201A>T				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The nonsense mutation c.1201A>T (p.R401X) was the most commonly detected deleterious allele in NGLY1, present in homozygous state in five of eight cases (Patients 4-8) and in a compound heterozygous state in one case (Patient 1). Clearly, homozygous mutations associated with p.R401X cause a severe phenotype. However, the range of outcomes is variable, with some patients having an early demise and others living at least into their teenage years. Patients 2 and 3 appear to have a relatively mild phenotype and are the only two individuals in the current cohort who do not carry the p.R401X mutation. Aside from these broad considerations, more detailed genotype-phenotype correlations will be possible only with the detection of further patients. Consistent with the severe presentation of NGLY1 deficiency, NGLY1 is among the 20% of genes in the human genome that are the most intolerant of functional genetic variation in the human population, and we may expect that less extreme mutations than those seen here may also be associated with disease.	disease	variant	NGLY1 deficiency	c.1201A>T (p.R401X)			2017-03-22	Núria Queralt Rosinach	2014-03-20
HGVS:NM_018297.3:c.1201A>T	has_attribute	SO:0001587			Q518638	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The nonsense mutation c.1201A>T (p.R401X) was the most common deleterious allele.	variant	variant class	c.1201A>T (p.R401X)	nonsense mutation|loss of function mutation|inactivating mutation|stop-gain mutation			2017-03-22	Núria Queralt Rosinach	2014-03-20
HGVS:NM_018297.3:c.1201A>T	in	NCBIGene:55768				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The nonsense mutation c.1201A>T (p.R401X) was the most commonly detected deleterious allele in NGLY1, present in homozygous state in five of eight cases (Patients 4-8) and in a compound heterozygous state in one case (Patient 1).	variant	gene	c.1201A>T (p.R401X)	NGLY1			2017-03-22	Núria Queralt Rosinach	2014-03-20
SO:0001587	in	NCBIGene:55768	Q518638			https://www.ncbi.nlm.nih.gov/pubmed/24651605	The nonsense mutation c.1201A>T (p.R401X) was the most commonly detected deleterious allele in NGLY1, present in homozygous state in five of eight cases (Patients 4-8) and in a compound heterozygous state in one case (Patient 1).	variant class	gene	nonsense mutation|loss of function mutation|inactivating mutation|stop-gain mutation	NGLY1			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	GO:0006517				https://www.ncbi.nlm.nih.gov/pubmed/24651605	On the basis of the initial report of a single NGLY1-deficient patient, a recent CDG review considered that NGLY1 deficiency may even be considered to be the first "congenital disorder of deglycosylation".	disease	biological process	NGLY1 deficiency	deglycosilation			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0060728	associates	GO:0000502			Q14878333	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Soon after the initial report, we were able to identify the seven additional cases reported herein, therefore confirming NGLY1 deficiency as an inherited disorder of the ERAD pathway and the first to be identified that involves the cytosolic proteasome.	disease	protein complex	NGLY1 deficiency	proteasome			2017-03-22	Núria Queralt Rosinach	2014-03-20
MESH:D006023	participates	Reactome:R-HSA-532668				https://www.ncbi.nlm.nih.gov/pubmed/24651605	The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins.	protein	pathway	misfolded glycoprotein	ERAD pathway			2017-03-22	Núria Queralt Rosinach	2014-03-20
MESH:D006023	participates	MESH:D055571			Q7444453	https://www.ncbi.nlm.nih.gov/pubmed/24651605	The ERAD pathway is a mechanism for identifying and degrading misfolded glycoproteins. N-glycans that are high in mannose content act as quality control tags for proteins in the early stages of the secretory pathway. Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	pathway	misfolded glycoprotein	Secretory pathway			2017-03-22	Núria Queralt Rosinach	2014-03-20
MESH:D006023	interacts	UMLS:C0023206			Q408693	https://www.ncbi.nlm.nih.gov/pubmed/24651605	Misfolded glycoproteins are detected by ER luminal lectins and are then translocated to the cytosol via the ERAD machinery to be subsequently degraded by cytosolic enzymes including NGLY1.	protein	protein	misfolded glycoprotein	ER luminal lectins			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	has_attribute	HP:0000007				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima.	disease	mode of inheritance	Triple-A syndrome	autosomal recessive disorder			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	same_as	OMIM:231550				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima.	disease	disease	Triple-A syndrome	Triple-A syndrome			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	presents	HP:0008259				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima.	disease	phenotype	Triple-A syndrome	adrenocorticotropin hormone-resistant adrenal insufficiency			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	presents	HP:0002571				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima.	disease	phenotype	Triple-A syndrome	achalasia			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	presents	HP:0000522				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima.	disease	phenotype	Triple-A syndrome	alacrima			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	presents	HP:0001251				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima. In addition, affected individuals have late-onset cerebellar ataxia, peripheral neuropathy, and mild dementia.	disease	phenotype	Triple-A syndrome	late-onset cerebellar ataxia			2017-03-22	Núria Queralt Rosinach	2014-03-20
DOID:0050602	presents	HP:0009830				https://www.ncbi.nlm.nih.gov/pubmed/24651605	Triple-A syndrome (OMIM 231550) is an autosomal recessive condition characterized by adrenocorticotropin hormone-resistant adrenal insufficiency, achalasia, and alacrima. In addition, affected individuals have late-onset cerebellar ataxia, peripheral neuropathy, and mild dementia.	disease	phenotype	Triple-A syndrome	peripheral neuropathy			2017-03-22	Núria Queralt Rosinach	2014-03-20
