orphanet	do
Orphanet:205	DOID:3803
Orphanet:79213	DOID:12798
Orphanet:37612	DOID:0050989
Orphanet:2913	DOID:1148
Orphanet:1600	DOID:0060407
Orphanet:607	DOID:3191
Orphanet:73	DOID:4837
Orphanet:99908	DOID:13891
Orphanet:564	DOID:0050778
Orphanet:251589	DOID:3078
Orphanet:213828	DOID:6428
Orphanet:424016	DOID:3692
Orphanet:227796	DOID:11105
Orphanet:481	DOID:0060161
Orphanet:398987	DOID:6331
Orphanet:280886	DOID:1407
Orphanet:69077	DOID:3672
Orphanet:628	DOID:14687
Orphanet:36397	DOID:3928
Orphanet:98957	DOID:0060449
Orphanet:284417	DOID:0050723
Orphanet:261120	DOID:0060392
Orphanet:79098	DOID:12029
Orphanet:158032	DOID:0050120
Orphanet:1425	DOID:0060462
Orphanet:217569	DOID:11984
Orphanet:2614	DOID:9467
Orphanet:912	DOID:905
Orphanet:73247	DOID:13922
Orphanet:261494	DOID:0060352
Orphanet:2177	DOID:4626
Orphanet:673	DOID:12365
Orphanet:303	DOID:4959
Orphanet:846	DOID:1099
Orphanet:2332	DOID:14780
Orphanet:2092	DOID:2120
Orphanet:380	DOID:14761
Orphanet:25980	DOID:0050760
Orphanet:3008	DOID:3651
Orphanet:66629	DOID:0060481
Orphanet:263463	DOID:0050813
Orphanet:818	DOID:14692
Orphanet:440	DOID:10892
Orphanet:93442	DOID:2581
Orphanet:416	DOID:2977
Orphanet:634	DOID:0050474
Orphanet:104076	DOID:5271
Orphanet:98818	DOID:2538
Orphanet:137839	DOID:11337
Orphanet:98755	DOID:0050954
Orphanet:98300	DOID:2797
Orphanet:313850	DOID:0050883
Orphanet:83595	DOID:4885
Orphanet:158	DOID:14365
Orphanet:178	DOID:3302
Orphanet:682	DOID:14451
Orphanet:3386	DOID:12140
Orphanet:1786	DOID:0060384
Orphanet:1214	DOID:1757
Orphanet:79455	DOID:3666
Orphanet:101088	DOID:6620
Orphanet:664	DOID:9271
Orphanet:561	DOID:0050858
Orphanet:90291	DOID:418
Orphanet:97279	DOID:3892
Orphanet:254698	DOID:3593
Orphanet:563	DOID:9997
Orphanet:738	DOID:13268
Orphanet:31204	DOID:2312
Orphanet:2583	DOID:13078
Orphanet:1047	DOID:8955
Orphanet:66646	DOID:3663
Orphanet:1906	DOID:0060471
Orphanet:371	DOID:11721
Orphanet:363976	DOID:4305
Orphanet:423975	DOID:4434
Orphanet:232	DOID:10923
Orphanet:90039	DOID:5378
Orphanet:75566	DOID:396
Orphanet:1270	DOID:0050684
Orphanet:251604	DOID:7005
Orphanet:1226	DOID:0050655
Orphanet:98954	DOID:0060451
Orphanet:93569	DOID:853
Orphanet:2995	DOID:0060229
Orphanet:71203	DOID:1587
Orphanet:101000	DOID:0050886
Orphanet:1465	DOID:1925
Orphanet:963	DOID:2449
Orphanet:470	DOID:0060439
Orphanet:183595	DOID:263
Orphanet:99868	DOID:3284
Orphanet:101063	DOID:758
Orphanet:79315	DOID:0050575
Orphanet:401	DOID:10074
Orphanet:86864	DOID:0060125
Orphanet:2573	DOID:13099
Orphanet:2116	DOID:1060
Orphanet:169105	DOID:0060028
Orphanet:3002	DOID:8924
Orphanet:108	DOID:9643
Orphanet:75234	DOID:14502
Orphanet:306	DOID:0060169
Orphanet:324999	DOID:0050553
Orphanet:72	DOID:1932
Orphanet:1555	DOID:0050660
Orphanet:857	DOID:0050887
Orphanet:97360	DOID:0060254
Orphanet:976	DOID:0060350
Orphanet:217260	DOID:643
Orphanet:228119	DOID:0050289
Orphanet:90354	DOID:14775
Orphanet:3128	DOID:0060359
Orphanet:100067	DOID:9931
Orphanet:2884	DOID:3263
Orphanet:251937	DOID:2426
Orphanet:3378	DOID:11665
Orphanet:777	DOID:0050776
Orphanet:3237	DOID:0050794
Orphanet:817	DOID:0060283
Orphanet:99829	DOID:9682
Orphanet:83452	DOID:3223
Orphanet:97593	DOID:4184
Orphanet:2034	DOID:1080
Orphanet:340	DOID:11266
Orphanet:324	DOID:14499
Orphanet:584	DOID:12803
Orphanet:207	DOID:2339
Orphanet:97242	DOID:0050557
Orphanet:520	DOID:0060318
Orphanet:213504	DOID:3713
Orphanet:44890	DOID:9253
Orphanet:209970	DOID:0050995
Orphanet:2806	DOID:8970
Orphanet:91411	DOID:0060261
Orphanet:2930	DOID:6225
Orphanet:3463	DOID:10632
Orphanet:2136	DOID:0060366
Orphanet:140471	DOID:0050548
Orphanet:635	DOID:769
Orphanet:300385	DOID:4916
Orphanet:2768	DOID:14798
Orphanet:2021	DOID:0060465
Orphanet:275872	DOID:0060213
Orphanet:888	DOID:0060239
Orphanet:2137	DOID:2048
Orphanet:415	DOID:0050720
Orphanet:793	DOID:13677
Orphanet:252028	DOID:4955
Orphanet:1480	DOID:1657
Orphanet:75374	DOID:0050335
Orphanet:83313	DOID:14095
Orphanet:217377	DOID:0060461
Orphanet:93356	DOID:0080030
Orphanet:319	DOID:3369
Orphanet:79456	DOID:3665
Orphanet:47612	DOID:11042
Orphanet:2368	DOID:11044
Orphanet:764	DOID:876
Orphanet:280062	DOID:4734
Orphanet:666	DOID:12347
Orphanet:533	DOID:11573
Orphanet:261279	DOID:0060405
Orphanet:822	DOID:12971
Orphanet:2380	DOID:14415
Orphanet:199627	DOID:0060042
Orphanet:739	DOID:11983
Orphanet:370334	DOID:4232
Orphanet:26792	DOID:0080154
Orphanet:701	DOID:0050634
Orphanet:158000	DOID:4424
Orphanet:251880	DOID:4794
Orphanet:187	DOID:9273
Orphanet:141000	DOID:0060381
Orphanet:180234	DOID:3306
Orphanet:2404	DOID:13523
Orphanet:99824	DOID:9537
Orphanet:99745	DOID:13258
Orphanet:54260	DOID:0060480
Orphanet:2971	DOID:0050797
Orphanet:1194	DOID:0060331
Orphanet:2802	DOID:0050554
Orphanet:99926	DOID:2025
Orphanet:398043	DOID:11615
Orphanet:304	DOID:4644
Orphanet:780	DOID:3247
Orphanet:60041	DOID:990
Orphanet:821	DOID:14748
Orphanet:580	DOID:12799
Orphanet:233	DOID:12557
Orphanet:2591	DOID:0080109
Orphanet:284289	DOID:0050999
Orphanet:7	DOID:0060565
Orphanet:96125	DOID:0060422
Orphanet:41	DOID:0060257
Orphanet:53689	DOID:0060296
Orphanet:217632	DOID:397
Orphanet:2207	DOID:11202
Orphanet:83	DOID:0050462
Orphanet:514	DOID:8864
Orphanet:968	DOID:0080051
Orphanet:1727	DOID:0060436
Orphanet:279922	DOID:9389
Orphanet:1957	DOID:369
Orphanet:101001	DOID:0060245
Orphanet:86879	DOID:9072
Orphanet:1679	DOID:11405
Orphanet:810	DOID:12385
Orphanet:1297	DOID:0050691
Orphanet:180247	DOID:0050918
Orphanet:903	DOID:12531
Orphanet:1596	DOID:0060397
Orphanet:101972	DOID:628
Orphanet:82	DOID:3755
Orphanet:1549	DOID:1733
Orphanet:79145	DOID:0060256
Orphanet:97282	DOID:5574
Orphanet:33276	DOID:8632
Orphanet:358	DOID:0050450
Orphanet:392	DOID:0060468
Orphanet:1955	DOID:0050981
Orphanet:165	DOID:0050729
Orphanet:163699	DOID:4239
Orphanet:98980	DOID:0060217
Orphanet:34533	DOID:2566
Orphanet:324625	DOID:0050012
Orphanet:398934	DOID:2152
Orphanet:60	DOID:13372
Orphanet:65286	DOID:0060419
Orphanet:1598	DOID:0060406
Orphanet:90000	DOID:0060567
Orphanet:2598	DOID:0080099
Orphanet:411629	DOID:1062
Orphanet:97275	DOID:9588
Orphanet:50945	DOID:0060387
Orphanet:829	DOID:14256
Orphanet:312	DOID:4603
Orphanet:190	DOID:7765
Orphanet:89937	DOID:0050948
Orphanet:79211	DOID:13809
Orphanet:1359	DOID:0050471
Orphanet:3047	DOID:0060290
Orphanet:2805	DOID:0050877
Orphanet:301	DOID:5074
Orphanet:213512	DOID:6170
Orphanet:85	DOID:1338
Orphanet:660	DOID:0060327
Orphanet:397	DOID:13375
Orphanet:250994	DOID:0060435
Orphanet:589	DOID:437
Orphanet:58	DOID:4252
Orphanet:33069	DOID:0060171
Orphanet:765	DOID:3649
Orphanet:83471	DOID:2012
Orphanet:91495	DOID:0060282
Orphanet:1513	DOID:0080032
Orphanet:41751	DOID:0050664
Orphanet:2132	DOID:2859
Orphanet:213746	DOID:4005
Orphanet:307967	DOID:0060361
Orphanet:854	DOID:11695
Orphanet:71211	DOID:8869
Orphanet:79140	DOID:3965
Orphanet:2510	DOID:0060237
Orphanet:101112	DOID:0050975
Orphanet:83484	DOID:10845
Orphanet:1310	DOID:4257
Orphanet:276198	DOID:0050983
Orphanet:2576	DOID:0050436
Orphanet:97349	DOID:14332
Orphanet:424013	DOID:6126
Orphanet:2014	DOID:674
Orphanet:64692	DOID:0050398
Orphanet:22	DOID:0060175
Orphanet:1332	DOID:3973
Orphanet:93296	DOID:0080056
Orphanet:79181	DOID:9265
Orphanet:86900	DOID:7848
Orphanet:166068	DOID:0060274
Orphanet:449266	DOID:3798
Orphanet:99867	DOID:3275
Orphanet:549	DOID:10458
Orphanet:217346	DOID:0060408
Orphanet:309015	DOID:14118
Orphanet:211266	DOID:11294
Orphanet:75377	DOID:9822
Orphanet:876	DOID:1911
Orphanet:83314	DOID:0050480
Orphanet:16	DOID:0050679
Orphanet:216	DOID:14503
Orphanet:778	DOID:1206
Orphanet:54057	DOID:10772
Orphanet:391504	DOID:14043
Orphanet:217340	DOID:0060434
Orphanet:238750	DOID:0060420
Orphanet:275555	DOID:10591
Orphanet:478	DOID:3614
Orphanet:271832	DOID:0060123
Orphanet:76	DOID:10955
Orphanet:79193	DOID:0050832
Orphanet:401920	DOID:5015
Orphanet:141007	DOID:0060382
Orphanet:213531	DOID:4680
Orphanet:96078	DOID:0060431
Orphanet:280133	DOID:8354
Orphanet:2108	DOID:4534
Orphanet:90003	DOID:918
Orphanet:276193	DOID:0050982
Orphanet:820	DOID:13096
Orphanet:2855	DOID:0050857
Orphanet:2309	DOID:0050449
Orphanet:180242	DOID:1964
Orphanet:2942	DOID:4952
Orphanet:279914	DOID:12732
Orphanet:214	DOID:9266
Orphanet:85128	DOID:0050683
Orphanet:35173	DOID:0060292
Orphanet:1934	DOID:0050709
Orphanet:251992	DOID:4817
Orphanet:357154	DOID:5773
Orphanet:464	DOID:12305
Orphanet:403	DOID:14080
Orphanet:3426	DOID:6406
Orphanet:107	DOID:14702
Orphanet:3093	DOID:1712
Orphanet:685	DOID:2476
Orphanet:252164	DOID:3192
Orphanet:297	DOID:0050175
Orphanet:98977	DOID:1068
Orphanet:48377	DOID:8508
Orphanet:171851	DOID:0060483
Orphanet:83593	DOID:10843
Orphanet:3451	DOID:0050562
Orphanet:797	DOID:11335
Orphanet:2908	DOID:0060472
Orphanet:454706	DOID:318
Orphanet:703	DOID:8506
Orphanet:79358	DOID:3805
Orphanet:270	DOID:11719
Orphanet:95159	DOID:5230
Orphanet:662	DOID:0050468
Orphanet:75840	DOID:0050558
Orphanet:251615	DOID:4845
Orphanet:251607	DOID:4852
Orphanet:950	DOID:14669
Orphanet:98909	DOID:0080092
Orphanet:1531	DOID:2340
Orphanet:98261	DOID:891
Orphanet:314419	DOID:0050894
Orphanet:178481	DOID:0050141
Orphanet:699	DOID:0060067
Orphanet:289176	DOID:0050949
Orphanet:98971	DOID:0060452
Orphanet:191	DOID:2962
Orphanet:223	DOID:12387
Orphanet:1267	DOID:11976
Orphanet:3472	DOID:0060589
Orphanet:1941	DOID:0060172
Orphanet:595	DOID:14717
Orphanet:116	DOID:5572
Orphanet:209967	DOID:0050994
Orphanet:97335	DOID:7489
Orphanet:300557	DOID:4932
Orphanet:424065	DOID:6827
Orphanet:79241	DOID:856
Orphanet:2753	DOID:0060374
Orphanet:178509	DOID:0060486
Orphanet:139455	DOID:0050662
Orphanet:510	DOID:1919
Orphanet:388	DOID:10487
Orphanet:845	DOID:3320
Orphanet:98895	DOID:9883
Orphanet:206484	DOID:3578
Orphanet:157215	DOID:0050947
Orphanet:35705	DOID:0050721
Orphanet:238624	DOID:11459
Orphanet:796	DOID:3323
Orphanet:2203	DOID:9274
Orphanet:157820	DOID:0060294
Orphanet:31112	DOID:3507
Orphanet:124	DOID:1339
Orphanet:31837	DOID:5453
Orphanet:68354	DOID:535
Orphanet:2902	DOID:9502
Orphanet:2382	DOID:0050561
Orphanet:3166	DOID:3659
Orphanet:26791	DOID:0060358
Orphanet:97245	DOID:0080100
Orphanet:2459	DOID:1081
Orphanet:398971	DOID:5304
Orphanet:1621	DOID:0060418
Orphanet:49042	DOID:4154
Orphanet:333	DOID:0050464
Orphanet:183	DOID:3049
Orphanet:209	DOID:3144
Orphanet:86830	DOID:2226
Orphanet:454718	DOID:11549
Orphanet:166073	DOID:0060275
Orphanet:370953	DOID:0050588
Orphanet:157850	DOID:3981
Orphanet:37748	DOID:4371
Orphanet:294937	DOID:0050581
Orphanet:521	DOID:8552
Orphanet:199318	DOID:0060394
Orphanet:1606	DOID:0060410
Orphanet:228371	DOID:0050352
Orphanet:429	DOID:0080041
Orphanet:3242	DOID:0060179
Orphanet:46627	DOID:0060563
Orphanet:773	DOID:10582
Orphanet:54272	DOID:0050868
Orphanet:524	DOID:3012
Orphanet:166	DOID:10595
Orphanet:263413	DOID:0001816
Orphanet:2189	DOID:0050779
Orphanet:506	DOID:3652
Orphanet:68373	DOID:906
Orphanet:552	DOID:0050524
Orphanet:442	DOID:0050328
Orphanet:543	DOID:8584
Orphanet:79473	DOID:4346
Orphanet:98578	DOID:0060260
Orphanet:64686	DOID:1278
Orphanet:801	DOID:419
Orphanet:319266	DOID:992
Orphanet:1302	DOID:0050157
Orphanet:251598	DOID:7008
Orphanet:79383	DOID:4977
Orphanet:46487	DOID:4313
Orphanet:783	DOID:1933
Orphanet:610	DOID:0050663
Orphanet:99905	DOID:13238
Orphanet:2168	DOID:0060177
Orphanet:98759	DOID:0050967
Orphanet:29	DOID:0050452
Orphanet:247709	DOID:10016
Orphanet:36	DOID:9250
Orphanet:251902	DOID:3544
Orphanet:99757	DOID:3246
Orphanet:98973	DOID:0060457
Orphanet:261330	DOID:0060413
Orphanet:599	DOID:11720
Orphanet:182098	DOID:10316
Orphanet:35687	DOID:4329
Orphanet:2639	DOID:0050790
Orphanet:245	DOID:5768
Orphanet:565	DOID:1838
Orphanet:100100	DOID:3277
Orphanet:169139	DOID:624
Orphanet:2552	DOID:4271
Orphanet:98760	DOID:0050959
Orphanet:2932	DOID:5213
Orphanet:293202	DOID:6193
Orphanet:199244	DOID:4968
Orphanet:276152	DOID:0080137
Orphanet:45358	DOID:0080143
Orphanet:902	DOID:5688
Orphanet:754	DOID:4674
Orphanet:399	DOID:12858
Orphanet:97685	DOID:0060403
Orphanet:90042	DOID:10780
Orphanet:206966	DOID:699
Orphanet:614	DOID:2106
Orphanet:3148	DOID:5940
Orphanet:93437	DOID:0080049
Orphanet:423296	DOID:0050985
Orphanet:859	DOID:0050818
Orphanet:1517	DOID:0060569
Orphanet:79276	DOID:3890
Orphanet:83600	DOID:5225
Orphanet:314404	DOID:0050968
Orphanet:1334	DOID:2058
Orphanet:97249	DOID:0060272
Orphanet:2905	DOID:14039
Orphanet:206979	DOID:3428
Orphanet:1764	DOID:11589
Orphanet:98762	DOID:0050962
Orphanet:87	DOID:12960
Orphanet:96169	DOID:0050880
Orphanet:1902	DOID:10242
Orphanet:263	DOID:11724
Orphanet:809	DOID:3492
Orphanet:1303	DOID:2799
Orphanet:98763	DOID:0050964
Orphanet:309152	DOID:3321
Orphanet:64694	DOID:11101
Orphanet:137586	DOID:0080158
Orphanet:309144	DOID:2368
Orphanet:252018	DOID:3640
Orphanet:52	DOID:9245
Orphanet:655	DOID:12712
Orphanet:1915	DOID:0050665
Orphanet:93672	DOID:14203
Orphanet:98955	DOID:0060450
Orphanet:182040	DOID:12449
Orphanet:978	DOID:0050601
Orphanet:83461	DOID:11367
Orphanet:379	DOID:3265
Orphanet:199276	DOID:3315
Orphanet:102	DOID:4752
Orphanet:261476	DOID:0060427
Orphanet:53035	DOID:0050876
Orphanet:791	DOID:10584
Orphanet:144	DOID:3883
Orphanet:2929	DOID:0050787
Orphanet:211017	DOID:0050979
Orphanet:173	DOID:1498
Orphanet:2909	DOID:2732
Orphanet:544	DOID:0050745
Orphanet:70482	DOID:1107
Orphanet:1229	DOID:0050656
Orphanet:3287	DOID:2508
Orphanet:99978	DOID:4927
Orphanet:112	DOID:445
Orphanet:886	DOID:0050439
Orphanet:79153	DOID:0080079
Orphanet:309005	DOID:3146
Orphanet:98274	DOID:4960
Orphanet:3452	DOID:8476
Orphanet:3103	DOID:5325
Orphanet:238593	DOID:8283
Orphanet:79445	DOID:4183
Orphanet:3265	DOID:0060467
Orphanet:70470	DOID:1171
Orphanet:858	DOID:13336
Orphanet:52430	DOID:0050881
Orphanet:85102	DOID:4697
Orphanet:1501	DOID:3948
Orphanet:1186	DOID:0050556
Orphanet:55880	DOID:3371
Orphanet:98956	DOID:0060447
Orphanet:189439	DOID:0060280
Orphanet:178333	DOID:0050630
Orphanet:98768	DOID:0050963
Orphanet:98758	DOID:0050956
Orphanet:2470	DOID:0050819
Orphanet:98523	DOID:0060264
Orphanet:79242	DOID:859
Orphanet:183669	DOID:2583
Orphanet:50839	DOID:11258
Orphanet:412	DOID:3145
Orphanet:558	DOID:14323
Orphanet:407	DOID:9268
Orphanet:877	DOID:170
Orphanet:399158	DOID:10159
Orphanet:35704	DOID:0050712
Orphanet:3449	DOID:0050475
Orphanet:83312	DOID:11103
Orphanet:182095	DOID:3082
Orphanet:99886	DOID:0060334
Orphanet:424046	DOID:5742
Orphanet:157	DOID:0060235
Orphanet:2248	DOID:9955
Orphanet:2331	DOID:13378
Orphanet:90	DOID:9278
Orphanet:2494	DOID:8757
Orphanet:69665	DOID:1852
Orphanet:60015	DOID:0060285
Orphanet:423	DOID:8545
Orphanet:126	DOID:14778
Orphanet:231	DOID:14418
Orphanet:282196	DOID:14040
Orphanet:64280	DOID:1825
Orphanet:307	DOID:4890
Orphanet:1478	DOID:1882
Orphanet:252212	DOID:6707
Orphanet:71	DOID:0060357
Orphanet:100	DOID:12704
Orphanet:98616	DOID:5467
Orphanet:53347	DOID:0050692
Orphanet:64749	DOID:0050541
Orphanet:1328	DOID:4997
Orphanet:29073	DOID:9538
Orphanet:63	DOID:10983
Orphanet:1225	DOID:0050654
Orphanet:367	DOID:2750
Orphanet:75496	DOID:0050802
Orphanet:48736	DOID:7232
Orphanet:3303	DOID:6419
Orphanet:130	DOID:0050451
Orphanet:98722	DOID:0050651
Orphanet:93357	DOID:5684
Orphanet:98757	DOID:1440
Orphanet:70588	DOID:11049
Orphanet:366	DOID:2748
Orphanet:64739	DOID:5425
Orphanet:3299	DOID:11338
Orphanet:99756	DOID:4051
Orphanet:3320	DOID:14699
Orphanet:244	DOID:9562
Orphanet:390	DOID:1731
Orphanet:2467	DOID:349
Orphanet:893	DOID:14515
Orphanet:71862	DOID:8501
Orphanet:293621	DOID:0060446
Orphanet:101068	DOID:0060445
Orphanet:512	DOID:10581
Orphanet:90340	DOID:0050678
Orphanet:869	DOID:0050602
Orphanet:83317	DOID:13371
Orphanet:33543	DOID:0060165
Orphanet:2337	DOID:0050428
Orphanet:399319	DOID:8125
Orphanet:3440	DOID:9258
Orphanet:91490	DOID:0060252
Orphanet:251019	DOID:0060428
Orphanet:365	DOID:2752
Orphanet:508	DOID:0050470
Orphanet:3193	DOID:1929
Orphanet:2323	DOID:0060348
Orphanet:443227	DOID:3055
Orphanet:424073	DOID:5751
Orphanet:166063	DOID:0060273
Orphanet:86897	DOID:7146
Orphanet:99976	DOID:4914
Orphanet:2514	DOID:14725
Orphanet:930	DOID:9164
Orphanet:94	DOID:3069
Orphanet:98275	DOID:4972
Orphanet:94083	DOID:14744
Orphanet:98959	DOID:0060454
Orphanet:35	DOID:14701
Orphanet:213823	DOID:4867
Orphanet:98969	DOID:2565
Orphanet:85193	DOID:12559
Orphanet:586	DOID:1485
Orphanet:86834	DOID:0050458
Orphanet:252175	DOID:12689
Orphanet:828	DOID:0080046
Orphanet:251618	DOID:5077
Orphanet:63446	DOID:0050604
Orphanet:2710	DOID:0060291
Orphanet:398058	DOID:5518
Orphanet:88616	DOID:0060308
Orphanet:1427	DOID:0080026
Orphanet:79201	DOID:2747
Orphanet:1164	DOID:13166
Orphanet:37202	DOID:13949
Orphanet:289326	DOID:321
Orphanet:349	DOID:14500
Orphanet:2024	DOID:0060466
Orphanet:1675	DOID:14218
Orphanet:98852	DOID:0050158
Orphanet:581	DOID:12801
Orphanet:296	DOID:4624
Orphanet:71274	DOID:5728
Orphanet:178338	DOID:0060240
Orphanet:1935	DOID:308
Orphanet:31202	DOID:5052
Orphanet:93958	DOID:0050843
Orphanet:35807	DOID:2156
Orphanet:90309	DOID:14720
Orphanet:64741	DOID:4765
Orphanet:2754	DOID:0060376
Orphanet:280558	DOID:0060535
Orphanet:166409	DOID:0060281
Orphanet:279904	DOID:775
Orphanet:3343	DOID:9790
Orphanet:913	DOID:0050782
Orphanet:192	DOID:3783
Orphanet:231160	DOID:0060228
Orphanet:450	DOID:0050545
Orphanet:2912	DOID:4953
Orphanet:178478	DOID:0050354
Orphanet:572	DOID:5812
Orphanet:141	DOID:3613
Orphanet:355	DOID:1926
Orphanet:79493	DOID:0050693
Orphanet:52503	DOID:0050800
Orphanet:99826	DOID:4327
Orphanet:2066	DOID:0060174
Orphanet:633	DOID:9521
Orphanet:3388	DOID:0080074
Orphanet:209916	DOID:6496
Orphanet:35612	DOID:10629
Orphanet:553	DOID:12252
Orphanet:909	DOID:4810
Orphanet:261265	DOID:0060404
Orphanet:740	DOID:3911
Orphanet:167848	DOID:0050700
Orphanet:96256	DOID:5716
Orphanet:364559	DOID:1934
Orphanet:868	DOID:0050884
Orphanet:805	DOID:13515
Orphanet:94065	DOID:0060395
Orphanet:2781	DOID:13533
Orphanet:3385	DOID:10112
Orphanet:250999	DOID:0060412
Orphanet:781	DOID:11100
Orphanet:47	DOID:14179
Orphanet:34592	DOID:0060009
Orphanet:1263	DOID:0050680
Orphanet:98634	DOID:0050786
Orphanet:3389	DOID:399
Orphanet:85276	DOID:0050764
Orphanet:334	DOID:0050650
Orphanet:284	DOID:12148
Orphanet:2415	DOID:1475
Orphanet:2065	DOID:0060364
Orphanet:750	DOID:0080047
Orphanet:65	DOID:14791
Orphanet:2698	DOID:0050658
Orphanet:64742	DOID:4769
Orphanet:2554	DOID:0060306
Orphanet:188	DOID:14400
Orphanet:1414	DOID:6691
Orphanet:94093	DOID:14464
Orphanet:54595	DOID:3840
Orphanet:93921	DOID:3204
Orphanet:168966	DOID:5820
Orphanet:305	DOID:3209
Orphanet:436	DOID:14213
Orphanet:284339	DOID:0060276
Orphanet:1561	DOID:0050713
Orphanet:308993	DOID:0060363
Orphanet:66661	DOID:355
Orphanet:23	DOID:14755
Orphanet:59305	DOID:3590
Orphanet:42738	DOID:0050590
Orphanet:99	DOID:1441
Orphanet:180226	DOID:3308
Orphanet:314928	DOID:1572
Orphanet:424058	DOID:7574
Orphanet:398961	DOID:3606
Orphanet:377	DOID:2512
Orphanet:208513	DOID:0050978
Orphanet:78	DOID:12841
Orphanet:98767	DOID:0050961
Orphanet:90625	DOID:0050566
Orphanet:352	DOID:9870
